project,created_at,CI
ansible/awx,2017-05-17T15:50:14Z,no
processing/processing,2013-01-24T21:17:22Z,no
neo4j/neo4j,2012-11-12T08:46:15Z,no
google/ExoPlayer,2014-06-13T21:19:18Z,no
getredash/redash,2013-10-28T13:19:39Z,no
vuejs/vue,2013-07-29T03:24:51Z,no
osTicket/osTicket,2013-08-12T19:10:14Z,no
nette/nette,2009-08-13T20:14:56Z,no
jumpserver/jumpserver,2014-07-04T03:54:59Z,no
caouecs/Laravel-lang,2013-05-29T22:56:40Z,no
opencart/opencart,2011-08-02T07:32:17Z,no
howdyai/botkit,2015-12-11T21:21:12Z,no
hazelcast/hazelcast,2012-03-21T12:25:18Z,no
pfsense/pfsense,2011-05-12T19:44:21Z,no
lra/mackup,2013-04-06T19:22:54Z,no
openhab/openhab1-addons,2013-09-20T20:28:43Z,no
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,no
plotly/plotly.py,2013-11-21T05:53:08Z,no
segmentio/nightmare,2014-04-05T22:19:51Z,no
deis/deis,2013-07-22T19:02:40Z,no
Alluxio/alluxio,2012-12-21T17:43:46Z,no
mozilla/send,2017-05-22T22:27:01Z,no
iovisor/bcc,2015-05-01T19:52:32Z,no
MovingBlocks/Terasology,2011-03-04T03:49:19Z,no
mgp25/Instagram-API,2015-11-16T13:49:36Z,no
eclipse/che,2015-03-26T15:31:01Z,no
benedmunds/CodeIgniter-Ion-Auth,2010-01-20T19:19:39Z,no
Automattic/wp-calypso,2015-11-10T20:00:16Z,no
tornadoweb/tornado,2009-09-09T04:55:16Z,yes
Netflix/eureka,2012-07-26T22:23:07Z,yes
phpDocumentor/phpDocumentor2,2010-07-07T12:07:55Z,yes
doctrine/dbal,2010-05-20T17:01:42Z,yes
gevent/gevent,2012-09-13T22:03:03Z,yes
pimcore/pimcore,2011-11-01T09:16:14Z,yes
kennethreitz/requests,2011-02-13T18:38:17Z,yes
alibaba/druid,2011-11-03T05:12:51Z,yes
novus/nvd3,2012-11-15T18:51:59Z,yes
splitbrain/dokuwiki,2010-01-03T13:47:20Z,yes
Dogfalo/materialize,2014-09-12T19:35:38Z,yes
pallets/flask,2010-04-06T11:11:59Z,yes
getpelican/pelican,2010-10-16T18:57:40Z,yes
keystonejs/keystone,2013-07-02T05:01:55Z,yes
mitmproxy/mitmproxy,2010-02-16T04:10:13Z,yes
libgdx/libgdx,2012-08-10T19:34:38Z,yes
Atlantic18/DoctrineExtensions,2010-09-03T12:08:12Z,yes
aristath/kirki,2014-05-09T18:55:00Z,yes
pixijs/pixi.js,2013-01-21T22:40:50Z,yes
ajaxorg/ace,2010-10-27T10:43:36Z,yes
dropbox/pyston,2014-04-01T07:17:20Z,yes
TechEmpower/FrameworkBenchmarks,2013-03-22T17:33:54Z,yes
numba/numba,2012-03-08T11:12:43Z,yes
FriendsOfSymfony/FOSElasticaBundle,2011-04-08T19:48:24Z,yes
rtfd/readthedocs.org,2010-08-16T19:18:06Z,yes
spesmilo/electrum,2012-08-02T16:24:30Z,yes
select2/select2,2012-03-04T18:43:12Z,yes
atom/atom,2012-01-20T18:18:21Z,yes
wallabag/wallabag,2013-04-03T12:21:14Z,yes
certbot/certbot,2014-11-12T02:52:20Z,yes
nelmio/NelmioApiDocBundle,2012-04-12T16:28:15Z,yes
mrdoob/three.js,2010-03-23T18:58:01Z,yes
LimeSurvey/LimeSurvey,2012-01-30T14:14:53Z,yes
MichMich/MagicMirror,2014-02-19T15:48:09Z,yes
scrapy/scrapy,2010-02-22T02:01:14Z,yes
owncloud/android,2012-08-25T10:35:56Z,yes
Dolibarr/dolibarr,2011-06-26T21:55:03Z,yes
emberjs/ember.js,2011-05-25T23:39:40Z,yes
fabricjs/fabric.js,2010-06-09T22:24:38Z,yes
summernote/summernote,2013-04-27T04:59:48Z,yes
Elgg/Elgg,2009-09-06T17:10:11Z,yes
sinonjs/sinon,2010-06-29T21:15:32Z,yes
keycloak/keycloak,2013-07-02T13:38:51Z,yes
antlr/antlr4,2010-02-04T01:36:28Z,yes
moment/moment,2011-03-01T02:46:06Z,yes
freedomofpress/securedrop,2012-01-11T19:57:55Z,yes
bolt/bolt,2012-06-14T16:07:54Z,yes
ruflin/Elastica,2010-10-19T17:04:21Z,yes
forkcms/forkcms,2010-12-04T18:06:15Z,yes
networkx/networkx,2010-09-06T00:53:44Z,yes
Modernizr/Modernizr,2009-09-25T20:13:23Z,yes
FriendsOfSymfony/FOSRestBundle,2011-03-21T23:14:13Z,yes
pypa/pip,2011-03-06T14:30:46Z,yes
mochajs/mocha,2011-03-07T18:44:25Z,yes
